ReturnDate,TerritoryKey,ProductKey,ReturnQuantity
01-01-2016,1,111,1
02-01-2016,2,112,1
03-01-2016,3,113,1
04-01-2016,4,114,1
05-01-2016,5,115,1
06-01-2016,6,116,1
07-01-2016,7,117,1
08-01-2016,8,118,1
11-01-2016,11,121,1
12-01-2016,12,122,1
13-01-2016,13,123,1
14-01-2016,14,124,1
15-01-2016,15,125,1
16-01-2016,16,126,1
17-01-2016,17,127,1
18-01-2016,18,128,1
19-01-2016,19,129,1
20-01-2016,1,130,1
21-01-2016,2,131,1
22-01-2016,3,132,1
23-01-2016,4,133,1
24-01-2016,5,134,1
25-01-2016,6,135,1
26-01-2016,7,136,1
27-01-2016,8,137,1
30-01-2016,11,140,1
31-01-2016,12,141,1
01-02-2016,13,142,1
02-02-2016,14,143,1
03-02-2016,15,144,1
04-02-2016,16,145,1
05-02-2016,17,146,1
06-02-2016,18,147,1
07-02-2016,19,148,1
08-02-2016,1,149,1
09-02-2016,2,150,1
10-02-2016,3,151,1
11-02-2016,4,152,1
12-02-2016,5,153,1
13-02-2016,6,154,1
14-02-2016,7,155,1
15-02-2016,8,156,1
18-02-2016,11,159,1
19-02-2016,12,160,1
20-02-2016,13,161,1
21-02-2016,14,162,1
22-02-2016,15,163,1
23-02-2016,16,164,1
24-02-2016,17,165,1
25-02-2016,18,166,1
26-02-2016,19,167,1
27-02-2016,1,168,1
28-02-2016,2,169,1
01-03-2016,3,170,1
02-03-2016,4,171,1
03-03-2016,5,172,2
04-03-2016,6,173,1
05-03-2016,7,174,1
06-03-2016,8,175,1
09-03-2016,11,178,1
10-03-2016,12,179,1
11-03-2016,13,180,1
12-03-2016,14,181,1
13-03-2016,15,182,1
14-03-2016,16,183,1
15-03-2016,17,184,1
16-03-2016,18,185,1
17-03-2016,19,186,1
18-03-2016,1,187,1
19-03-2016,2,188,1
20-03-2016,3,189,1
21-03-2016,4,190,1
22-03-2016,5,191,1
23-03-2016,6,192,1
24-03-2016,7,193,1
25-03-2016,8,194,1
28-03-2016,11,197,1
29-03-2016,12,198,1
30-03-2016,13,199,1
31-03-2016,14,200,1
01-04-2016,15,201,1
02-04-2016,16,202,1
03-04-2016,17,203,1
04-04-2016,18,204,1
05-04-2016,19,205,1
06-04-2016,1,206,1
07-04-2016,2,207,1
08-04-2016,3,208,1
09-04-2016,4,209,1
10-04-2016,5,210,1
11-04-2016,6,211,1
12-04-2016,7,212,1
13-04-2016,8,213,1
16-04-2016,11,216,1
17-04-2016,12,217,1
18-04-2016,13,218,1
19-04-2016,14,219,1
20-04-2016,15,220,1
21-04-2016,16,221,1
22-04-2016,17,222,1
23-04-2016,18,223,1
24-04-2016,19,224,1
25-04-2016,1,225,1
26-04-2016,2,226,1
27-04-2016,3,227,1
28-04-2016,4,228,1
29-04-2016,5,229,1
30-04-2016,6,230,1
01-05-2016,7,231,1
02-05-2016,8,232,1
05-05-2016,11,235,1
06-05-2016,12,236,1
07-05-2016,13,237,1
08-05-2016,14,238,1
09-05-2016,15,239,1
10-05-2016,16,240,1
11-05-2016,17,241,1
12-05-2016,18,242,1
13-05-2016,19,243,1
14-05-2016,1,244,1
15-05-2016,2,245,1
16-05-2016,3,246,1
17-05-2016,4,247,1
18-05-2016,5,248,1
19-05-2016,6,249,1
20-05-2016,7,250,1
21-05-2016,8,251,1
24-05-2016,11,254,1
25-05-2016,12,255,1
26-05-2016,13,256,1
27-05-2016,14,257,1
28-05-2016,15,258,1
29-05-2016,16,259,1
30-05-2016,17,260,1
31-05-2016,18,261,1
01-06-2016,19,262,1
02-06-2016,1,263,1
03-06-2016,2,264,1
04-06-2016,3,265,1
05-06-2016,4,266,1
06-06-2016,5,267,1
07-06-2016,6,268,1
08-06-2016,7,269,1
09-06-2016,8,270,1
12-06-2016,11,273,1
13-06-2016,12,274,1
14-06-2016,13,275,1
15-06-2016,14,276,1
16-06-2016,15,277,1
17-06-2016,16,278,1
18-06-2016,17,279,1
19-06-2016,18,280,1
20-06-2016,19,281,1
21-06-2016,1,282,1
